Trials,Switch_Win_Percentage,Stay_Win_Percentage
588,66.4965986,34.1836735
589,69.2699491,31.9185059
590,67.2881356,36.2711864
591,67.6818951,30.4568528
592,67.9054054,31.5878378
593,64.4182125,34.0640809
594,63.1313131,32.4915825
595,66.7226891,36.1344538
596,68.9597315,34.7315436
597,69.8492462,33.3333333
598,65.8862876,33.4448161
599,64.6076795,30.0500835
600,66,35.8333333
601,62.8951747,32.2795341
602,65.282392,30.730897
603,65.6716418,31.0116086
604,68.2119205,35.4304636
605,66.2809917,34.7107438
606,65.3465347,35.9735974
607,70.0164745,32.2899506
608,67.5986842,32.7302632
609,67.4876847,32.8407225
610,68.5245902,33.6065574
611,61.0474632,32.5695581
612,69.6078431,29.5751634
613,66.0685155,31.1582382
614,67.9153094,32.5732899
615,65.0406504,37.8861789
616,68.0194805,34.0909091
617,65.4781199,31.9286872
618,64.2394822,32.2006472
619,64.7819063,33.9256866
620,67.2580645,33.7096774
621,67.7938808,36.7149758
622,65.755627,32.6366559
623,69.3418941,32.423756
624,63.7820513,31.8910256
625,66.56,31.36
626,65.8146965,35.942492
627,68.7400319,34.4497608
628,66.8789809,34.8726115
629,66.6136725,30.6836248
630,67.1428571,35.3968254
631,68.7797147,35.9746434
632,62.8164557,29.9050633
633,64.2969984,34.2812006
634,67.192429,34.8580442
635,68.0314961,35.7480315
636,66.3522013,31.4465409
637,70.0156986,30.6122449
638,64.4200627,31.1912226
639,66.6666667,33.9593114
640,69.375,32.96875
641,65.0546022,31.825273
642,69.7819315,33.0218069
643,67.651633,33.592535
644,66.3043478,34.4720497
645,65.2713178,35.6589147
646,66.0990712,31.5789474
647,63.5239567,32.6120556
648,66.6666667,33.9506173
649,66.4098613,34.5146379
650,66,31.2307692
651,65.5913978,33.0261137
652,70.2453988,31.2883436
653,65.237366,34.3032159
654,66.2079511,35.9327217
655,64.1221374,34.0458015
656,64.9390244,33.3841463
657,64.8401826,38.5083714
658,67.781155,34.0425532
659,65.4021244,33.23217
660,67.2727273,34.8484848
661,67.9273828,37.065053
662,62.3867069,34.592145
663,69.2307692,33.3333333
664,67.9216867,32.9819277
665,67.6691729,34.7368421
666,64.7147147,31.2312312
667,65.9670165,32.9835082
668,68.2634731,36.9760479
669,65.9192825,32.8849028
670,68.6567164,31.9402985
671,66.318927,35.9165425
672,69.7916667,29.3154762
673,67.9049034,30.3120357
674,66.9139466,32.3442136
675,68.2962963,33.9259259
676,65.5325444,36.3905325
677,66.7651403,31.7577548
678,67.1091445,30.5309735
679,63.4756996,35.0515464
680,67.2058824,34.8529412
681,63.876652,34.2143906
682,68.1818182,36.9501466
683,69.6925329,32.6500732
684,70.6140351,31.4327485
685,64.6715328,33.1386861
686,68.8046647,32.361516
687,66.084425,32.4599709
688,69.0406977,33.8662791
689,67.1988389,34.8330914
690,66.3768116,32.173913
691,66.7149059,35.1664255
692,67.0520231,35.4046243
693,68.975469,31.1688312
694,67.4351585,33.1412104
695,64.6043165,30.2158273
696,66.2356322,32.9022989
697,66.4275466,30.8464849
698,65.6160458,33.0945559
699,63.8054363,32.4749642
700,64.8571429,34.2857143
701,66.0485021,34.5221113
702,65.5270655,32.7635328
703,66.571835,30.4409673
704,66.7613636,34.375
705,69.2198582,34.893617
706,62.7478754,33.0028329
707,63.6492221,35.3606789
708,68.220339,32.2033898
709,66.2905501,35.2609309
710,65.6338028,33.2394366
711,69.7609001,36.0056259
712,71.0674157,33.7078652
713,66.6199158,35.6241234
714,67.9271709,31.512605
715,67.1328671,31.1888112
716,67.5977654,34.4972067
717,66.6666667,33.7517434
718,66.7130919,34.4011142
719,66.620306,32.4061196
720,62.3611111,28.75
721,66.5742025,32.8710125
722,65.3739612,31.1634349
723,69.4329184,33.8865837
724,66.8508287,32.8729282
725,65.6551724,31.1724138
726,65.7024793,32.369146
727,65.474553,32.4621733
728,67.032967,33.5164835
729,69.2729767,32.5102881
730,65.2054795,33.2876712
731,66.0738714,34.1997264
732,68.715847,34.4262295
733,65.3478854,33.2878581
734,68.119891,38.2833787
735,69.7959184,35.7823129
736,65.625,33.1521739
737,67.4355495,32.1573948
738,67.4796748,34.4173442
739,68.4709066,36.4005413
740,66.4864865,33.1081081
741,66.3967611,34.1430499
742,66.8463612,34.7708895
743,66.487214,31.897712
744,68.4139785,33.6021505
745,64.6979866,31.409396
746,67.2922252,32.30563
747,65.3279786,34.5381526
748,66.9786096,34.4919786
749,67.823765,30.7076101
750,64.9333333,33.3333333
751,66.7110519,35.0199734
752,64.3617021,35.6382979
753,66.4010624,33.8645418
754,65.5172414,33.5543767
755,66.3576159,31.3907285
756,71.8253968,34.6560847
757,66.1822985,28.9299868
758,65.0395778,32.4538259
759,69.5652174,33.9920949
760,69.7368421,33.4210526
761,65.7030223,32.7201051
762,66.7979003,32.152231
763,65.0065531,33.8138925
764,68.1937173,32.0680628
765,68.1045752,32.1568627
766,66.7101828,32.6370757
767,66.4928292,35.8539765
768,68.75,34.375
769,64.8894668,35.2405722
770,63.8961039,32.0779221
771,67.1854734,33.9818418
772,65.2849741,32.5129534
773,67.9172057,34.4113842
774,67.0542636,31.0077519
775,65.6774194,33.8064516
776,67.2680412,31.443299
777,67.1814672,32.046332
778,66.1953728,35.7326478
779,69.1912709,35.4300385
780,66.1538462,36.2820513
781,70.0384123,33.6747759
782,64.4501279,33.3759591
783,68.3269476,33.844189
784,66.1989796,34.8214286
785,65.8598726,32.866242
786,67.6844784,30.6615776
787,65.4383736,32.5285896
788,64.5939086,31.7258883
789,65.2724968,33.8403042
790,64.8101266,34.0506329
791,66.7509482,33.6283186
792,67.9292929,33.2070707
793,66.3303909,36.0655738
794,72.418136,34.256927
795,66.5408805,33.3333333
796,68.718593,30.5276382
797,67.5031368,35.7590966
798,68.6716792,31.8295739
799,61.8272841,34.0425532
800,68.25,31.375
801,64.4194757,36.454432
802,65.2119701,36.0349127
803,67.9950187,33.8729763
804,67.2885572,32.2139303
805,66.5838509,30.310559
806,65.5086849,34.6153846
807,69.0210657,31.7224287
808,63.6138614,37.2524752
809,67.3671199,31.6440049
810,66.0493827,34.8148148
811,68.1874229,32.5524044
812,68.3497537,35.0985222
813,64.5756458,35.7933579
814,65.3562654,36.8550369
815,68.5889571,33.2515337
816,65.0735294,31.7401961
817,66.2178703,30.4773562
818,66.2591687,34.4743276
819,63.1257631,32.4786325
820,64.5121951,33.4146341
821,66.8696711,35.5663825
822,64.4768856,33.8199513
823,67.0716889,31.7132442
824,67.2330097,33.0097087
825,64.4848485,35.5151515
826,64.6489104,34.9878935
827,68.8029021,35.0665054
828,67.2705314,32.7294686
829,68.9987937,32.5693607
830,66.1445783,35.6626506
831,68.2310469,32.1299639
832,67.4278846,33.2932692
833,65.5462185,35.0540216
834,63.0695444,35.8513189
835,69.7005988,34.491018
836,65.430622,35.5263158
837,64.874552,35.9617682
838,68.3770883,34.6062053
839,69.3682956,29.0822408
840,63.5714286,32.7380952
841,66.1117717,33.0558859
842,67.9334917,30.5225653
843,67.2597865,33.9264531
844,65.4028436,32.9383886
845,65.5621302,31.8343195
846,67.0212766,32.9787234
847,68.4769776,33.2939787
848,65.9198113,36.6745283
849,68.5512367,34.2756184
850,68.3529412,33.1764706
851,67.8025852,34.6650999
852,66.0798122,34.8591549
853,67.5263775,32.4736225
854,64.8711944,30.7962529
855,66.0818713,30.0584795
856,64.8364486,35.2803738
857,68.8448075,32.3220537
858,65.967366,33.6829837
859,64.3771828,34.9243306
860,66.9767442,31.5116279
861,63.8792102,35.7723577
862,64.3851508,37.0069606
863,66.0486674,36.7323291
864,65.162037,33.6805556
865,67.0520231,33.1791908
866,69.9769053,33.8337182
867,67.8200692,34.8327566
868,66.0138249,34.562212
869,65.8227848,33.141542
870,68.9655172,32.8735632
871,64.6383467,30.5396096
872,67.3165138,33.2568807
873,67.2394044,31.3860252
874,64.416476,32.4942792
875,67.8857143,36
876,68.8356164,34.7031963
877,64.3101482,33.0672748
878,64.8063781,32.3462415
879,64.1638225,32.8782708
880,67.1590909,32.1590909
881,67.1963678,32.3496027
882,66.6666667,30.8390023
883,64.6659117,32.5028313
884,67.081448,31.2217195
885,65.6497175,32.5423729
886,66.3656885,36.4559819
887,66.7418264,34.2728298
888,65.2027027,34.5720721
889,64.3419573,31.7210349
890,66.2921348,35.505618
891,65.2076319,33.4455668
892,66.367713,33.5201794
893,69.5408735,31.019037
894,69.5749441,34.5637584
895,66.9273743,30.8379888
896,64.7321429,35.3794643
897,62.9877369,35.1170569
898,65.701559,32.4053452
899,67.6307008,32.1468298
900,64.5555556,31.2222222
901,65.4827969,35.5160932
902,65.2993348,36.5853659
903,64.3410853,33.0011074
904,66.7035398,35.840708
905,67.6243094,32.8176796
906,66.6666667,32.8918322
907,65.7111356,34.9503859
908,65.0881057,34.2511013
909,66.9966997,33.8833883
910,65.3846154,33.7362637
911,66.7398463,33.9187706
912,66.7763158,33.6622807
913,68.6746988,33.7349398
914,65.2078775,30.7439825
915,67.3224044,35.4098361
916,65.8296943,34.9344978
917,68.4841876,34.0239913
918,67.6470588,31.6993464
919,68.117519,34.820457
920,64.4565217,34.1304348
921,65.9066232,32.5732899
922,61.1713666,32.7548807
923,66.9555796,30.0108342
924,69.5887446,33.7662338
925,65.0810811,32.972973
926,68.574514,32.3974082
927,67.6375405,35.9223301
928,66.0560345,31.3577586
929,67.0613563,31.6469322
930,65.483871,35.5913978
931,65.5209452,33.2975295
932,67.2746781,31.5450644
933,67.6312969,33.1189711
934,64.2398287,34.4753747
935,66.7379679,33.5828877
936,67.9487179,32.4786325
937,65.6350053,37.0330843
938,65.6716418,34.8614072
939,64.7497338,31.5228967
940,63.6170213,35.212766
941,64.5058448,34.325186
942,68.5774947,34.2887473
943,67.6564157,33.0858961
944,68.1144068,35.6991525
945,66.3492063,33.4391534
946,67.5475687,33.8266385
947,69.0601901,32.8405491
948,66.9831224,31.4345992
949,68.0716544,32.3498419
950,65.8947368,34.3157895
951,66.2460568,32.3869611
952,65.6512605,34.5588235
953,64.6379853,33.9979014
954,67.6100629,32.5995807
955,65.7591623,33.5078534
956,66.3179916,31.6945607
957,65.830721,30.3030303
958,67.5365344,31.8371608
959,66.527633,32.6381648
960,69.375,31.6666667
961,66.4932362,38.1893861
962,67.1517672,35.031185
963,67.1858775,33.8525441
964,64.9377593,37.1369295
965,67.253886,32.3316062
966,67.7018634,31.26294
967,66.9079628,31.1271975
968,69.214876,31.6115702
969,66.25387,31.8885449
970,64.4329897,32.8865979
971,65.1905252,32.1318229
972,64.5061728,33.9506173
973,69.1675231,32.6824255
974,66.4271047,32.4435318
975,67.5897436,35.2820513
976,66.3934426,33.4016393
977,67.2466735,36.2333675
978,65.9509202,31.9018405
979,66.0878447,34.7293156
980,66.8367347,32.244898
981,66.6666667,32.9255861
982,65.885947,32.4847251
983,67.8535097,32.1464903
984,67.5813008,33.0284553
985,65.6852792,30.6598985
986,66.8356998,33.0628803
987,66.7679838,32.7254306
988,68.1174089,33.805668
989,65.9251769,32.3559151
990,67.2727273,35.8585859
991,65.0857719,34.7124117
992,65.9274194,33.1653226
993,69.18429,31.8227593
994,65.694165,32.2937626
995,67.5376884,34.3718593
996,69.5783133,28.815261
997,69.0070211,37.0110331
998,67.4348697,30.1603206
999,68.0680681,34.9349349
1000,68.1,33.2
1001,67.3326673,33.5664336
1002,63.7724551,34.7305389
1003,66.3010967,34.995015
1004,65.6374502,33.3665339
1005,66.7661692,31.9402985
1006,67.8926441,34.194831
1007,66.1370407,36.0476663
1008,65.9722222,31.9444444
1009,64.5193261,32.210109
1010,65.9405941,30.2970297
1011,66.1721068,34.9159248
1012,67.3913043,29.8418972
1013,67.0286278,30.8983218
1014,63.5108481,31.8540434
1015,67.6847291,33.6945813
1016,68.1102362,31.496063
1017,68.633235,33.3333333
1018,65.7170923,32.2200393
1019,66.437684,31.5996075
1020,67.8431373,33.8235294
1021,65.3281097,31.6356513
1022,62.7201566,31.6046967
